순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
1,삼성전자,11.91%,"57,800","하락1,300",-2.20%,"13,567,868","58,200","58,500","57,500",14.13,4.15
2,고려아연,8.52%,"1,138,000","상한가262,000",+29.91%,"131,273","857,000","1,138,000","856,000",42.74,5.72
3,SK하이닉스,6.43%,"199,000","상승3,000",+1.53%,"3,590,704","193,500","199,300","190,000",57.98,-15.61
4,유한양행,3.78%,"152,600","상승7,500",+5.17%,"1,961,670","144,500","153,300","144,300",82.84,6.74
5,씨메스,3.37%,"28,200","하락1,800",-6.00%,"16,111,550","35,600","37,450","26,400",N/A,-219.59
6,한국전력,2.71%,"23,050","상승1,100",+5.01%,"4,118,633","22,250","23,250","22,200",5.58,-12.63
7,네이처셀,2.70%,"13,720","상승2,410",+21.31%,"7,166,042","11,400","13,870","11,220",-155.91,-19.70
8,YG PLUS,2.32%,"5,520",상승525,+10.51%,"26,501,098","5,330","5,920","5,120",54.12,14.12
9,두산에너빌리티,2.26%,"20,800",상승700,+3.48%,"5,317,780","19,850","20,900","19,840",83.87,0.78
10,한화인더스트리얼솔루션즈,1.98%,"43,100",상승800,+1.89%,"3,999,003","41,150","44,050","40,700",N/A,N/A
11,LG이노텍,1.97%,"180,400","하락19,300",-9.66%,"537,225","188,000","188,600","179,700",5.95,12.59
12,현대차,1.89%,"234,500","하락6,500",-2.70%,"351,466","241,000","241,000","234,000",5.08,13.68
13,알테오젠,1.82%,"391,000","상승10,500",+2.76%,"264,958","375,000","394,500","373,500","-16,291.70",-2.27
14,영풍정밀,1.82%,"26,000","상한가6,000",+30.00%,"1,566,694","20,000","26,000","18,850",16.48,8.63
15,LG에너지솔루션,1.18%,"411,000","상승8,000",+1.99%,"288,171","411,000","419,000","407,500",-572.42,6.36
16,HLB,1.14%,"66,900","하락1,200",-1.76%,"461,140","68,100","68,100","66,500",-41.22,-32.55
17,태성,1.09%,"28,100","하락1,700",-5.70%,"830,380","29,750","30,100","27,250",338.55,-4.48
18,한미반도체,1.06%,"99,400","하락2,100",-2.07%,"443,289","99,300","101,000","98,900",61.28,55.54
19,셀비온,1.03%,"21,650","상승3,280",+17.86%,"5,158,959","19,400","21,700","19,040",-59.15,-70.98
20,에코프로비엠,1.00%,"158,600","하락3,600",-2.22%,"283,989","165,000","165,400","157,800",-98.69,-0.64
21,기아,1.00%,"91,400","하락1,600",-1.72%,"1,340,424","90,000","92,200","90,000",3.82,20.44
22,POSCO홀딩스,0.89%,"340,500","하락1,500",-0.44%,"96,666","344,500","347,000","337,500",21.29,3.18
23,LG화학,0.84%,"333,500","상승9,000",+2.77%,"160,194","328,000","336,500","324,500",164.53,4.20
24,셀트리온,0.79%,"186,100",상승400,+0.22%,"160,829","185,700","186,900","184,200",105.14,5.07
25,펩트론,0.75%,"93,700","하락2,100",-2.19%,"664,966","93,500","98,500","92,200",-101.74,-35.69
26,엘앤케이바이오,0.74%,"7,650","상승1,050",+15.91%,"1,888,053","6,610","8,580","6,400",218.57,-7.84
27,와이제이링크,0.74%,"13,950",하락780,-5.30%,"4,180,407","14,900","15,180","13,600",20.42,21.09
28,에코프로,0.74%,"78,900","하락1,100",-1.37%,"375,235","81,400","82,000","78,300",-87.38,3.43
29,젬백스,0.73%,"19,790","상승1,410",+7.67%,"658,626","18,100","20,200","17,700",-15.07,-22.43
30,현대로템,0.73%,"63,500",하락300,-0.47%,"731,630","63,200","64,300","62,900",28.21,10.06
