순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
1,삼성전자,16.85%,"58,000",상승300,+0.52%,"9,841,095","57,500","58,200","57,100",14.18,4.15
2,SK하이닉스,3.81%,"191,800","상승4,000",+2.13%,"1,097,329","188,500","192,300","188,000",55.89,-15.61
3,유한양행,3.52%,"145,700","하락8,300",-5.39%,"1,655,519","154,100","155,500","144,100",79.10,6.74
4,태성,2.65%,"33,500","상승2,300",+7.37%,"1,733,372","33,150","38,800","32,300",403.61,-4.48
5,YG PLUS,2.10%,"4,775",상승255,+5.64%,"16,840,057","4,980","5,170","4,530",46.81,14.12
6,한일단조,2.09%,"3,450",상승495,+16.75%,"54,324,351","3,030","3,685","2,975",23.47,6.46
7,네이처셀,1.97%,"10,720","상승1,630",+17.93%,"3,808,286","9,430","11,260","9,300",-121.82,-19.70
8,두산에너빌리티,1.86%,"20,200",하락450,-2.18%,"3,505,290","20,650","20,800","19,960",81.45,0.78
9,현대차,1.73%,"241,500","상승7,000",+2.99%,"312,165","236,500","241,500","234,000",5.23,13.68
10,한켐,1.58%,"21,250","하락1,550",-6.80%,"4,248,488","22,450","25,250","21,250",N/A,24.14
11,HLB,1.43%,"66,700","하락2,600",-3.75%,"490,673","69,100","69,600","66,500",-41.10,-32.55
12,기아,1.38%,"93,100",상승600,+0.65%,"892,396","92,000","93,100","91,100",3.89,20.44
13,한미반도체,1.32%,"100,100","상승1,300",+1.32%,"450,603","98,800","101,800","98,800",61.71,55.54
14,동서,1.30%,"21,850","하락3,450",-13.64%,"1,449,222","23,200","23,700","21,350",13.10,9.23
15,LG에너지솔루션,1.18%,"387,500","상승6,000",+1.57%,"109,450","381,500","394,000","381,500",-539.69,6.36
16,알테오젠,1.14%,"373,500","하락10,000",-2.61%,"253,746","380,000","383,500","368,000","-15,562.50",-2.27
17,현대로템,1.12%,"66,200",상승100,+0.15%,"700,318","66,300","67,100","65,000",29.41,10.06
18,펩트론,1.11%,"87,600","하락5,300",-5.71%,"731,419","92,000","94,300","86,000",-95.11,-35.69
19,루미르,1.11%,"12,160",하락400,-3.18%,"4,390,827","13,170","13,670","12,100",-28.68,-24.89
20,SG,1.10%,"3,055",상승180,+6.26%,"21,963,945","3,070","3,310","2,960",-6.27,-47.71
21,셀트리온,1.10%,"185,800","하락1,700",-0.91%,"233,619","187,900","189,600","184,600",104.97,5.07
22,에코프로비엠,1.07%,"155,800",하락900,-0.57%,"154,038","156,200","159,100","155,000",-96.95,-0.64
23,POSCO홀딩스,1.06%,"333,500","상승2,000",+0.60%,"79,023","331,000","336,000","330,500",20.85,3.18
24,LG전자,1.04%,"100,200","상승3,900",+4.05%,"413,565","97,200","100,300","97,200",16.27,3.69
25,카카오,1.03%,"37,450",상승100,+0.27%,"381,596","37,750","37,950","37,050",-17.12,-10.26
26,한국파마,0.99%,"21,900","상승1,850",+9.23%,"2,677,572","22,500","24,650","21,600",79.64,0.13
27,NAVER,0.97%,"172,200","상승1,000",+0.58%,"201,716","172,000","173,400","170,800",18.24,4.41
28,이수페타시스,0.96%,"45,750","상승2,250",+5.17%,"2,096,607","43,600","46,400","43,500",51.64,19.51
29,한화에어로스페이스,0.96%,"378,500","하락7,000",-1.82%,"114,501","385,000","388,000","376,500",68.53,25.60
30,삼성바이오로직스,0.95%,"1,068,000","상승9,000",+0.85%,"45,571","1,070,000","1,095,000","1,059,000",73.92,9.12
